FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
5.1,3.2,0.04,0.1,-1.3,0.02,4.9,4.6,0.05,0.3,-2.3,0.08,-1.0,1.3,0.3,-0.3,-1.1,-1.2,-2.6,-0.4,10.4,21.0,True
-2.7,-2.5,-0.02,-2.6,-4.5,-0.04,-0.2,2.0,-0.02,0.5,2.3,-0.06,3.3,0.1,3.4,-5.8,-1.5,1.4,1.1,1.5,-7.4,-22.0,False
3.7,3.7,0.02,1.9,1.9,0.05,1.8,1.8,0.02,-3.3,-3.8,-0.02,-0.3,3.5,3.2,6.7,1.8,1.6,1.6,-1.0,6.0,18.0,True
-0.6,3.1,-0.02,1.3,3.7,0.01,-1.8,-0.5,-0.02,-0.1,0.8,-0.03,1.2,0.2,1.3,-0.8,-1.5,0.3,-0.1,2.1,0.2,-34.0,False
-1.2,-4.4,0.01,-0.1,-2.5,0.03,-1.0,-1.9,-0.0,1.9,0.9,0.05,-0.6,1.6,1.0,-0.1,-1.5,1.3,-0.2,-4.8,-0.7,20.0,True
-0.3,2.5,-0.02,-0.6,-1.6,-0.01,0.4,4.1,-0.02,-2.3,-3.6,0.01,0.7,-4.0,-3.3,1.3,1.4,0.0,-1.3,-1.5,-3.5,-13.0,False
2.2,7.2,-0.01,2.4,8.1,-0.01,-0.2,-0.9,0.0,-6.9,-8.8,-0.01,0.2,-0.6,-0.4,4.2,1.5,-0.4,-2.5,0.5,0.1,11.0,True
1.4,6.0,-0.02,0.7,1.0,0.02,0.7,5.0,-0.03,-0.8,-1.5,0.01,1.3,4.4,5.8,1.6,-1.6,0.1,-0.8,1.2,2.6,1.0,True
4.3,1.3,0.04,3.3,7.2,0.03,1.0,-5.9,0.07,3.1,6.0,-0.06,-1.0,3.3,2.2,3.5,0.8,0.3,-2.4,-0.3,14.8,39.0,True
1.5,-1.2,0.02,5.3,13.6,0.03,-3.9,-14.8,0.06,1.6,3.2,-0.03,1.7,-2.1,-0.4,2.0,3.4,-0.5,4.8,3.8,9.7,23.0,True
0.1,0.2,-0.0,3.5,9.2,0.0,-3.4,-9.0,0.02,1.7,2.5,-0.01,0.4,0.5,0.9,-1.5,-2.2,-0.8,-2.4,-3.7,5.3,12.0,False
1.2,0.7,0.01,1.2,3.2,-0.0,0.1,-2.5,0.02,0.3,-0.4,0.03,-1.7,1.8,0.1,2.4,1.3,-0.8,0.7,0.4,3.8,10.0,True
0.0,1.0,-0.01,-0.8,-2.3,-0.0,0.9,3.2,-0.01,2.2,3.1,-0.01,1.9,2.5,4.3,0.3,-1.2,0.8,-0.4,1.0,1.6,6.0,True
0.4,-3.0,0.02,-1.8,-5.4,0.0,2.3,2.4,0.02,-1.9,-3.3,0.03,-2.8,-0.3,-3.1,-1.0,0.3,-0.9,1.5,1.9,-2.8,-7.0,False
0.4,-0.5,0.01,-0.1,-1.3,0.01,0.5,0.8,0.0,-1.2,-2.4,0.03,-2.4,-0.1,-2.4,3.6,1.7,0.5,-0.1,-0.6,-0.6,7.0,True
-0.8,-0.1,-0.01,1.3,2.4,0.02,-2.1,-2.5,-0.02,3.1,3.0,0.03,1.4,2.0,3.3,0.8,-0.7,1.7,0.2,-1.1,2.8,12.0,False
-1.3,-1.1,-0.01,-3.1,-7.3,-0.03,1.7,6.2,-0.02,0.9,1.4,-0.01,0.6,-1.7,-1.0,-2.7,0.5,-1.2,-0.7,0.0,-4.9,0.0,True
-0.9,-2.9,0.01,-1.4,-5.7,0.03,0.6,2.7,-0.01,0.0,0.3,-0.01,0.6,-0.2,0.3,1.8,-1.8,1.5,-1.8,-2.6,-3.0,6.0,True
1.4,3.0,0.0,2.8,8.6,-0.01,-1.4,-5.6,0.02,1.0,1.1,0.01,0.0,-2.4,-2.4,-1.5,0.8,-0.1,-2.0,-0.8,6.7,4.0,True
0.6,1.7,-0.0,1.5,5.9,-0.02,-1.1,-4.3,0.02,0.3,0.7,-0.01,0.7,0.1,0.8,0.9,0.8,0.0,1.0,1.8,3.0,9.0,False
-1.0,-4.0,0.01,2.4,6.8,0.01,-3.6,-10.8,0.02,-3.0,-2.2,-0.05,0.4,2.6,3.1,-1.7,-0.5,2.0,0.3,0.1,-2.7,22.0,True
0.8,2.7,-0.01,0.9,2.1,0.01,-0.1,0.6,-0.01,-3.8,-5.2,0.01,0.0,4.3,4.4,1.2,-1.1,0.1,0.7,-2.7,-1.2,2.0,True
7.9,4.4,0.07,2.4,0.7,0.08,5.5,3.7,0.06,-0.1,-3.0,0.09,-1.5,3.4,1.8,6.9,-0.3,0.1,-3.2,-1.8,18.0,49.0,True
-2.1,2.5,-0.04,-0.5,0.8,-0.04,-1.5,1.7,-0.04,1.0,1.7,-0.01,-0.7,2.7,2.0,-3.4,-3.5,0.6,-4.8,-3.9,-3.6,-8.0,False
0.0,0.3,-0.0,-0.4,-1.1,-0.0,0.4,1.4,-0.01,-3.0,-3.0,-0.03,-1.3,0.4,-0.8,-0.3,-0.1,-1.2,0.0,3.0,-3.5,-12.0,False
0.7,2.3,-0.0,1.0,3.4,-0.01,-0.3,-1.1,0.01,-5.7,-7.1,-0.01,-0.6,-1.3,-1.8,0.6,0.3,0.1,-2.5,-1.4,-3.3,9.0,True
-2.3,-5.6,0.0,0.0,0.7,-0.01,-2.4,-6.3,0.01,3.6,4.6,0.01,-0.9,-1.8,-2.7,-0.8,-0.1,0.7,-0.1,-0.9,-1.0,12.0,False
-1.3,0.5,-0.02,5.3,15.9,-0.01,-6.6,-15.4,0.02,2.7,4.6,-0.03,1.2,-2.2,-1.0,-1.8,2.2,0.4,1.7,1.2,5.4,10.0,False
4.0,4.1,0.03,2.7,5.2,0.03,1.4,-1.1,0.03,0.9,1.7,-0.01,-2.4,1.2,-1.4,4.9,0.2,-1.0,-3.0,2.0,11.6,18.0,True
0.6,-3.6,0.03,1.5,2.6,0.02,-0.9,-6.2,0.04,1.9,1.2,0.05,-1.7,-0.2,-1.9,0.5,-0.2,-0.6,0.9,-0.6,4.6,21.0,False
2.1,0.3,0.02,-3.1,-10.2,0.02,5.3,10.5,-0.0,-1.9,-4.6,0.07,-1.9,1.8,-0.1,2.2,-1.5,0.4,-2.7,-2.9,-0.7,-1.0,True
0.9,-1.0,0.02,1.2,2.7,0.01,-0.3,-3.7,0.02,-1.7,-2.1,-0.0,-2.3,-2.9,-5.2,2.0,0.8,-1.0,-1.7,-2.3,1.2,5.0,True
3.6,4.0,0.02,3.0,7.5,0.02,0.6,-3.5,0.04,0.7,0.2,0.03,0.1,5.3,5.5,0.6,-0.6,-0.2,-1.1,-3.4,10.9,34.0,True
-0.1,4.0,-0.02,-0.9,-0.3,-0.03,0.7,4.3,-0.02,-1.5,-0.3,-0.05,1.6,1.6,3.2,1.1,0.3,0.1,1.3,2.1,-2.5,-19.0,False
-1.6,-0.2,-0.02,-2.0,-6.1,0.0,0.6,5.9,-0.04,1.1,2.1,-0.02,0.7,0.1,0.7,0.7,-1.5,-0.2,-1.9,-0.1,-3.9,-18.0,False
1.5,0.0,0.02,1.2,1.8,0.02,0.3,-1.8,0.02,-1.4,0.6,-0.08,-1.1,2.3,1.1,4.1,0.3,0.6,-0.6,0.4,2.7,7.0,False
-2.0,1.7,-0.03,-0.7,-0.4,-0.03,-1.3,2.1,-0.04,3.1,3.7,0.02,0.0,2.3,2.3,-0.4,-1.8,1.7,-3.0,-2.7,-1.5,8.0,False
-0.6,-5.1,0.02,-1.9,-7.8,0.03,1.3,2.7,0.0,0.5,0.9,-0.01,-0.6,1.5,0.9,-0.5,-0.9,1.0,1.2,-0.4,-2.9,6.0,True
-2.6,-5.3,-0.0,1.6,5.0,-0.0,-4.2,-10.3,0.01,-0.1,0.9,-0.03,-1.3,-2.1,-3.5,-1.9,-0.7,0.3,1.5,0.9,-3.6,-18.0,False
-1.3,0.0,-0.02,0.8,3.0,-0.02,-2.1,-3.0,-0.01,3.3,3.4,0.03,0.2,2.0,2.2,-0.3,-0.4,-0.4,0.7,-0.5,1.4,5.0,True
0.8,-0.2,0.01,-0.9,-1.3,-0.02,1.7,1.1,0.02,-0.1,0.0,-0.01,-0.1,-2.4,-2.5,-0.5,0.8,-0.5,-0.2,-1.9,0.7,0.0,False
-0.5,0.3,-0.01,-3.4,-7.9,-0.02,2.9,8.2,-0.02,-0.5,-0.1,-0.02,2.0,-0.4,1.5,-2.1,0.5,0.3,2.5,4.3,-4.7,-19.0,False
1.7,-3.4,0.04,-1.0,-4.6,0.02,2.6,1.2,0.04,0.9,-0.3,0.05,0.1,1.0,1.1,-0.6,-2.0,0.1,-2.4,-2.4,3.1,20.0,True
1.6,-1.3,0.03,-1.2,-3.2,-0.01,2.8,1.9,0.03,7.5,10.1,-0.01,0.3,3.5,3.8,-1.0,-0.3,-0.7,1.6,-0.9,9.4,12.0,True
5.2,3.8,0.04,5.8,12.1,0.07,-0.7,-8.3,0.05,-4.0,-4.9,-0.01,-1.2,5.0,3.8,5.8,1.2,2.0,-0.5,0.7,12.2,51.0,True
1.5,4.9,-0.01,1.4,4.7,-0.0,0.1,0.2,-0.0,-1.2,-1.7,0.01,0.8,0.7,1.4,3.6,1.2,-0.5,0.0,1.9,3.4,2.0,False
-0.2,0.6,-0.01,-3.3,-8.0,-0.02,3.2,8.6,-0.02,-3.8,-4.5,-0.02,-1.1,-0.1,-1.2,-1.5,0.5,-0.3,0.6,2.5,-7.4,-28.0,False
0.5,-0.3,0.01,3.4,7.9,0.02,-2.9,-8.2,0.02,0.5,0.1,0.02,-2.0,0.4,-1.5,2.1,-0.5,-0.3,-2.5,-4.3,4.7,19.0,False
0.5,2.6,-0.01,1.1,3.7,-0.01,-0.6,-1.1,-0.0,-0.9,0.2,-0.05,2.4,-2.3,0.0,0.2,1.4,0.1,-0.6,-2.2,1.2,-6.0,True
0.8,-0.8,0.01,-6.2,-17.5,-0.01,7.0,16.7,-0.02,-1.0,-3.2,0.06,-1.3,0.1,-1.1,-0.5,-1.0,-0.8,-3.4,-2.9,-5.6,-1.0,False
-1.2,-0.7,-0.01,-1.2,-3.2,0.0,-0.1,2.5,-0.02,-0.3,0.4,-0.03,1.7,-1.8,-0.1,-2.4,-1.3,0.8,-0.7,-0.4,-3.8,-10.0,True
3.3,2.3,0.03,1.6,3.6,0.02,1.6,-1.3,0.04,1.6,1.8,0.01,2.8,0.6,3.4,0.3,1.2,0.0,2.8,4.1,9.8,12.0,True
2.5,0.2,0.03,2.4,6.5,0.01,0.0,-6.4,0.05,-0.6,-1.1,0.01,-1.1,-0.5,-1.6,1.6,1.1,0.0,-0.2,-1.2,6.7,29.0,True
1.4,4.1,-0.0,3.0,9.9,-0.01,-1.8,-5.8,0.02,-2.2,-1.4,-0.04,0.7,3.1,3.8,0.2,-0.3,0.5,-0.8,3.8,3.7,14.0,True
5.0,3.4,0.04,1.4,0.9,0.04,3.6,2.5,0.04,-0.6,-4.4,0.12,-1.2,4.2,3.0,1.4,-3.2,-1.4,-4.1,-3.5,10.8,33.0,True
-2.1,-5.1,0.0,-2.9,-8.5,0.0,0.9,3.3,-0.01,5.9,7.8,0.0,0.0,1.1,1.0,0.1,-1.8,-0.7,1.2,-0.6,-1.1,-10.0,False
-3.2,-0.8,-0.03,0.7,2.9,-0.01,-3.9,-3.7,-0.03,-1.1,-2.2,0.03,0.1,-4.4,-4.3,-2.7,-0.3,0.1,-0.3,0.8,-6.6,-29.0,False
0.3,-3.2,0.02,0.6,-0.2,0.03,-0.2,-3.0,0.02,-1.9,-3.2,0.03,-3.0,-0.9,-3.9,3.9,0.7,-0.1,-0.7,-3.2,-0.8,10.0,False
-2.5,-5.0,-0.0,-3.3,-7.3,-0.03,0.8,2.3,-0.01,-0.2,0.1,-0.01,-2.0,-1.9,-3.9,-2.3,0.4,0.4,0.5,1.6,-8.4,-16.0,True
-0.6,-2.7,0.01,1.4,3.4,0.01,-2.1,-6.2,0.01,2.2,1.6,0.04,0.1,1.7,1.8,0.8,-0.7,1.3,0.8,-3.0,2.3,29.0,True
-2.2,-3.7,-0.01,-0.7,-0.1,-0.02,-1.5,-3.6,0.01,1.9,4.4,-0.06,-0.8,-1.2,-2.1,-2.6,-1.5,-1.0,-2.2,1.4,-3.3,-11.0,True
1.3,-1.0,0.02,5.1,12.6,0.04,-3.9,-13.6,0.04,-2.3,-2.1,-0.03,-0.5,2.6,2.1,0.5,-0.7,0.1,-0.7,-0.8,5.3,37.0,True
-1.3,0.3,-0.02,0.4,1.9,-0.02,-1.7,-1.6,-0.02,0.3,0.4,0.01,-1.1,2.4,1.4,-0.6,-0.5,-1.6,0.7,2.5,-2.1,-7.0,True
-1.4,-5.1,0.01,-1.2,-5.1,0.02,-0.1,0.0,-0.0,-1.5,-1.4,-0.02,-1.1,-0.9,-2.0,-3.9,-0.3,0.2,1.1,-0.3,-5.7,-15.0,True
1.7,-0.1,0.02,-1.8,-5.5,0.01,3.5,5.4,0.01,-3.8,-3.8,-0.04,-1.2,0.2,-1.0,2.3,1.0,-1.2,1.0,2.6,-2.3,-4.0,False
-1.3,-1.6,-0.01,-0.1,-0.7,0.0,-1.2,-0.9,-0.01,-1.4,-4.0,0.07,-0.9,-1.3,-2.0,0.9,1.3,-0.4,1.9,-3.5,-4.2,4.0,True
-0.4,-4.3,0.02,-1.4,-4.9,0.01,1.1,0.6,0.01,-1.2,-2.1,0.01,-2.0,-0.4,-2.3,-0.9,-0.8,-0.4,-0.4,-3.7,-3.5,8.0,True
1.5,-5.4,0.05,-1.6,-6.1,0.02,3.1,0.7,0.05,1.4,-0.1,0.07,-2.8,-0.9,-3.8,-0.7,-1.8,-1.4,-2.9,-1.7,2.7,19.0,False
2.1,-2.5,0.04,0.5,-0.8,0.04,1.5,-1.7,0.04,-1.0,-1.7,0.01,0.7,-2.7,-2.0,3.4,3.5,-0.6,4.8,3.9,3.6,8.0,False
0.1,0.8,-0.0,-2.1,-4.5,-0.02,2.2,5.3,-0.01,3.1,5.2,-0.05,2.1,-0.4,1.6,-1.4,0.9,1.0,1.1,4.1,1.2,-6.0,False
-0.9,0.0,-0.01,-0.4,-0.4,-0.01,-0.6,0.5,-0.01,-0.5,-1.0,0.01,0.4,0.4,0.9,-2.3,0.4,0.2,2.1,1.3,-2.8,-11.0,True
-4.4,-1.4,-0.04,-4.3,-8.1,-0.05,0.0,6.8,-0.05,1.5,2.8,-0.03,1.2,-2.0,-0.8,-6.5,-2.3,-1.5,-1.3,1.3,-11.5,-46.0,True
-2.3,-2.8,-0.01,-1.9,-5.7,-0.01,-0.2,2.9,-0.03,-0.8,-1.5,0.01,-2.3,1.7,-0.6,-1.6,-1.7,1.0,-2.3,-4.8,-7.3,3.0,True
-1.3,-0.4,-0.01,-1.0,-2.8,0.0,-0.3,2.4,-0.03,0.4,0.6,-0.0,1.0,3.2,4.2,1.0,-1.2,1.4,1.1,-2.7,-3.2,1.0,True
-1.7,-2.7,-0.01,1.6,5.5,-0.01,-3.3,-8.2,0.02,3.1,6.6,-0.09,1.0,-3.1,-2.2,0.3,3.1,0.5,3.1,3.8,1.1,5.0,True
2.4,3.3,0.01,-2.2,-6.5,-0.0,4.7,9.8,-0.0,0.6,-0.7,0.05,-1.6,0.2,-1.4,1.8,0.9,-1.8,-2.0,-0.2,3.2,17.0,False
1.6,4.1,-0.0,-1.1,-0.8,-0.03,2.7,4.9,0.0,0.4,1.3,-0.03,1.8,0.0,1.7,-3.2,-1.0,-0.1,-1.2,2.2,2.7,-10.0,False
-0.3,0.3,-0.01,-1.8,-4.4,-0.01,1.6,4.7,-0.01,-1.2,-3.8,0.07,0.2,0.7,1.0,-0.4,0.2,0.4,1.7,-2.2,-3.5,-1.0,True
4.9,6.3,0.02,5.2,10.5,0.06,-0.3,-4.2,0.03,-6.3,-8.5,0.01,-0.5,1.0,0.5,7.1,2.6,2.0,-1.8,-0.8,8.7,38.0,True
2.8,1.3,0.03,2.1,5.4,0.01,0.7,-4.1,0.05,4.5,5.4,0.02,0.1,1.0,1.1,-0.6,0.5,-0.3,-1.8,-0.7,12.1,32.0,True
-0.1,-0.3,0.0,4.9,12.3,0.03,-5.0,-12.6,0.02,0.1,0.8,-0.02,0.7,-0.2,0.4,0.4,-1.1,-0.1,1.0,-0.7,4.8,-2.0,True
-0.5,-4.9,0.02,-0.9,-2.4,-0.0,0.3,-2.6,0.02,4.8,5.7,0.02,-0.7,1.0,0.3,-0.6,-0.3,-0.5,3.1,-0.5,2.8,8.0,True
0.3,-2.8,0.02,-2.0,-5.0,-0.01,2.3,2.2,0.02,0.8,-0.2,0.05,-2.5,-0.1,-2.5,-0.7,-0.6,-0.6,0.4,0.3,-0.5,6.0,True
-3.7,-10.7,0.01,-1.2,-4.4,0.01,-2.5,-6.3,0.01,2.1,3.2,-0.01,-2.0,-2.7,-4.7,-4.7,-0.4,0.9,1.0,-1.2,-6.7,-3.0,True
3.8,0.2,0.04,-1.6,-6.8,0.03,5.5,7.0,0.04,-2.2,-4.7,0.05,-1.9,0.9,-1.1,0.1,-1.7,-2.1,-2.8,-0.8,3.7,7.0,False
-0.5,-3.0,0.01,-2.4,-8.2,0.02,2.0,5.1,-0.01,-0.5,-0.1,-0.02,-0.4,2.0,1.5,3.8,-1.2,-0.1,-0.1,-0.5,-3.9,7.0,False
-0.2,0.0,-0.0,-2.5,-6.3,-0.02,2.4,6.3,-0.01,3.3,3.5,0.02,1.2,-5.1,-4.0,0.2,1.9,-0.6,1.0,-2.0,0.5,-22.0,False
0.9,3.9,-0.01,0.6,3.4,-0.03,0.3,0.5,0.0,2.2,2.8,0.0,1.3,2.7,4.0,-1.5,0.6,-0.7,1.4,3.6,4.6,0.0,False
-3.7,-3.8,-0.02,-1.7,-5.3,0.01,-1.9,1.4,-0.04,-1.6,-2.3,0.01,-0.3,-2.4,-2.8,1.1,-1.5,0.0,-0.4,0.3,-10.5,-22.0,False
-0.8,-3.1,0.01,-2.7,-7.9,0.01,1.9,4.8,-0.01,0.9,2.4,-0.05,0.8,-3.1,-2.4,0.1,0.3,1.7,-0.3,0.5,-3.4,-6.0,False
0.1,5.3,-0.03,-1.3,-2.6,-0.02,1.6,7.9,-0.04,0.0,-0.7,0.03,-2.0,2.2,0.1,0.3,-1.5,-0.5,-3.4,-1.1,-0.9,-5.0,True
-1.1,1.6,-0.02,1.4,6.5,-0.03,-2.5,-4.9,0.0,2.1,4.8,-0.06,3.0,0.2,3.1,-3.5,0.4,0.4,2.5,4.2,1.4,-4.0,False
0.6,2.2,-0.01,0.6,2.9,-0.02,-0.1,-0.7,0.0,0.2,1.1,-0.03,0.7,-2.0,-1.3,-1.9,0.1,-0.9,-1.0,0.9,2.0,-5.0,True
1.2,4.1,-0.01,0.5,3.6,-0.03,0.6,0.5,0.01,1.1,2.1,-0.02,1.9,-2.0,-0.2,0.4,1.6,-0.1,0.2,1.8,4.2,-8.0,True
1.8,1.3,0.01,3.5,8.6,0.01,-1.7,-7.3,0.03,1.9,4.1,-0.05,-1.1,1.7,0.5,1.2,-1.8,0.1,-4.4,-0.8,8.9,15.0,True
2.1,3.6,0.01,-0.6,-2.2,0.0,2.9,5.8,0.0,-3.1,-4.4,0.01,-2.0,-0.1,-2.2,0.7,0.3,-2.2,-0.4,1.6,0.6,-13.0,False
-1.8,-1.9,-0.01,2.3,7.2,0.0,-4.2,-9.1,-0.0,-0.9,1.0,-0.07,1.9,-3.2,-1.2,0.3,3.5,0.4,5.8,3.5,-2.2,-15.0,False
2.5,4.7,0.01,3.0,9.7,-0.01,-0.6,-5.0,0.03,-4.6,-5.2,-0.02,-0.5,3.4,2.9,2.9,0.1,-0.4,-1.2,2.0,3.6,24.0,True
0.3,-0.8,0.01,3.5,7.6,0.04,-3.2,-8.4,0.02,1.1,1.4,0.0,0.8,-0.1,0.6,1.2,0.4,0.0,0.5,-0.9,5.1,15.0,True
-0.8,2.5,-0.02,-0.3,-0.2,-0.01,-0.5,2.7,-0.03,-3.5,-2.2,-0.08,2.1,1.3,3.4,0.9,0.1,0.3,0.5,-1.9,-5.5,-17.0,False
-3.1,-5.6,-0.01,0.7,3.4,-0.02,-3.8,-9.0,0.01,1.6,2.3,-0.0,-1.4,-4.2,-5.6,-4.2,0.5,-0.1,-0.2,-0.8,-3.8,-9.0,False
1.2,-0.4,0.02,-2.7,-7.1,-0.01,3.9,6.7,0.01,-2.1,-2.4,-0.01,-1.3,-1.9,-3.1,0.0,2.2,-1.6,-0.7,0.9,-2.5,5.0,False
0.4,-2.4,0.02,-1.5,-4.7,0.01,2.0,2.3,0.01,1.2,2.0,-0.02,-0.9,-1.3,-2.3,2.5,1.6,0.9,0.4,0.9,0.4,4.0,False
-1.6,4.0,-0.04,-2.1,-2.1,-0.05,0.4,6.1,-0.04,-0.1,-0.9,0.02,2.7,-0.7,2.1,-3.0,0.0,-0.5,1.9,1.7,-5.2,-26.0,True
-1.6,-1.2,-0.01,-1.2,-3.8,0.01,-0.3,2.7,-0.02,-1.1,-1.0,-0.01,-1.2,-2.4,-3.6,0.4,-0.3,-1.0,-1.5,-1.1,-5.5,-24.0,False
1.5,0.9,0.01,1.1,2.6,0.01,0.4,-1.7,0.02,4.9,6.0,0.01,1.1,4.2,5.3,0.4,-0.7,1.1,-0.7,-3.4,8.9,33.0,True
-0.9,0.4,-0.01,4.3,13.4,-0.02,-5.2,-13.0,0.02,2.2,4.2,-0.04,0.2,0.0,0.2,0.2,2.8,-1.2,3.4,3.3,4.5,11.0,False
-0.9,-1.3,-0.0,-1.0,-1.8,-0.02,0.1,0.5,-0.0,6.3,8.2,0.01,0.2,1.9,2.1,-3.3,-2.9,-0.9,-0.4,-1.4,3.5,-12.0,False
2.8,0.2,0.03,3.1,4.3,0.06,-0.3,-4.1,0.03,-2.6,-3.8,0.01,-2.4,-0.4,-2.8,6.9,2.0,0.5,-0.2,-2.4,6.0,22.0,True
-3.3,-1.3,-0.03,-2.4,-5.9,-0.02,-0.7,4.5,-0.05,0.6,1.3,-0.01,-0.9,1.9,0.9,0.0,-2.4,0.8,-3.2,-3.1,-8.2,-6.0,False
-0.4,0.5,-0.01,0.1,1.3,-0.01,-0.5,-0.8,-0.0,1.2,2.4,-0.03,2.4,0.1,2.4,-3.6,-1.7,-0.5,0.1,0.6,0.6,-7.0,False
1.4,5.1,-0.01,1.2,5.1,-0.02,0.1,0.0,0.0,1.5,1.4,0.02,1.1,0.9,2.0,3.9,0.3,-0.2,-1.1,0.3,5.7,15.0,True
-2.6,0.0,-0.03,-0.3,-0.5,-0.01,-2.3,0.5,-0.04,-1.1,-0.1,-0.05,2.3,0.3,2.6,-0.9,-0.5,0.2,0.4,-1.0,-6.7,-18.0,False
-0.2,-2.0,0.01,-0.6,-1.5,-0.01,0.5,-0.5,0.01,0.5,0.2,0.02,-2.9,-1.9,-4.9,-0.1,0.2,-1.5,-0.5,0.7,-0.4,-1.0,False
0.5,0.3,0.0,2.3,5.2,0.02,-1.8,-4.9,0.01,2.7,2.4,0.04,0.4,-1.2,-0.9,-0.2,0.5,0.3,-0.9,1.6,6.0,11.0,True
1.3,1.1,0.01,3.1,7.3,0.03,-1.7,-6.2,0.02,-0.9,-1.4,0.01,-0.6,1.7,1.0,2.7,-0.5,1.2,0.7,0.0,4.9,0.0,False
1.1,4.0,-0.01,3.2,8.9,-0.0,-2.1,-4.9,0.01,-0.5,-1.7,0.04,0.0,3.7,3.8,-1.7,-3.2,-0.4,-3.1,-3.9,5.0,10.0,True
2.8,0.1,0.03,2.6,5.7,0.02,0.2,-5.6,0.05,1.2,3.0,-0.05,-0.8,-1.3,-2.3,3.4,1.6,0.4,-1.7,0.1,9.4,18.0,True
0.8,4.0,-0.01,-3.4,-7.9,-0.02,4.1,11.9,-0.03,-0.8,-1.7,0.02,0.6,0.4,1.0,-0.4,-1.7,-0.5,-2.5,1.0,-2.4,-26.0,False
1.9,-0.4,0.02,1.1,1.9,0.03,0.7,-2.3,0.03,-4.1,-4.3,-0.03,-1.1,4.9,3.8,2.4,-0.8,0.6,0.0,1.6,0.7,30.0,True
2.2,5.8,-0.01,-0.2,-0.3,-0.0,2.4,6.1,-0.01,-0.9,-1.5,0.01,1.2,2.0,3.3,1.1,-0.8,-0.4,-1.0,-0.7,3.3,1.0,False
-3.8,-4.5,-0.02,-5.6,-11.8,-0.06,1.8,7.3,-0.03,1.6,2.0,0.01,0.0,-2.2,-2.1,-5.7,-0.8,-1.8,-1.2,-0.8,-11.7,-12.0,True
2.5,3.7,0.01,-0.3,-2.4,0.03,2.9,6.1,-0.0,-0.6,-1.7,0.03,-0.5,0.1,-0.5,2.1,-0.9,0.2,-2.0,-0.6,4.3,7.0,True
-4.6,-3.8,-0.03,-2.1,-5.7,-0.01,-2.5,1.9,-0.06,-2.1,-3.3,0.02,0.1,-2.0,-1.9,-1.2,-1.1,0.2,1.7,1.6,-13.3,-33.0,False
-2.1,-6.1,0.01,-2.1,-6.2,0.0,0.0,0.1,-0.0,3.7,4.7,0.01,-1.9,-1.4,-3.3,-0.2,-0.6,-1.5,1.6,-1.6,-2.7,-16.0,False
2.2,-2.3,0.04,4.0,8.4,0.05,-1.9,-10.7,0.05,0.7,0.8,0.0,1.1,-2.2,-1.1,1.9,1.3,-1.4,2.4,0.2,8.9,20.0,True
-0.6,-2.4,0.0,1.0,2.3,0.01,-1.7,-4.8,0.01,-0.8,-1.4,0.01,-1.2,2.1,1.0,0.5,-0.8,0.1,0.8,0.0,-1.2,17.0,True
-5.2,-5.3,-0.03,0.4,1.7,-0.01,-5.6,-7.0,-0.04,0.7,3.3,-0.08,0.8,-1.8,-0.9,-4.0,1.4,2.3,3.9,0.5,-9.4,-22.0,False
1.5,-1.2,0.02,2.1,3.9,0.03,-0.6,-5.1,0.03,-3.2,-4.0,-0.0,-3.0,-2.2,-5.1,4.0,2.8,-1.2,0.2,-0.4,1.7,10.0,True
0.4,0.5,0.0,2.1,5.6,0.01,-1.8,-5.1,0.01,5.4,5.5,0.06,0.7,-1.0,-0.3,0.1,-0.4,0.6,-2.0,0.0,8.3,24.0,True
1.2,3.8,-0.01,1.9,6.7,-0.02,-0.8,-2.8,0.01,0.4,0.4,0.0,0.2,0.8,1.1,-3.4,-1.1,-0.2,-1.6,-0.8,4.6,-2.0,False
-0.4,2.4,-0.02,1.5,4.7,-0.01,-2.0,-2.3,-0.01,-1.2,-2.0,0.02,0.9,1.3,2.3,-2.5,-1.6,-0.9,-0.4,-0.9,-0.4,-4.0,True
2.3,-2.5,0.04,1.5,2.0,0.03,0.8,-4.5,0.05,2.1,2.8,0.01,-3.2,1.0,-2.3,3.2,0.2,0.3,-1.1,2.3,8.2,24.0,True
-3.7,-4.1,-0.02,-3.7,-7.7,-0.03,0.0,3.6,-0.03,0.4,1.0,-0.02,1.1,-2.3,-1.2,-5.4,-2.6,0.2,-1.2,-1.2,-10.6,-22.0,False
-1.4,-5.7,0.01,-1.1,-2.1,-0.02,-0.3,-3.6,0.03,-2.2,-1.5,-0.04,-2.6,-4.0,-6.6,-1.9,1.5,-1.3,0.8,1.8,-6.1,-13.0,False
2.9,3.6,0.02,-1.3,-4.9,0.02,4.3,8.5,0.0,-1.1,-2.1,0.02,-1.5,2.3,0.7,4.1,-0.3,-1.4,-0.3,1.5,3.4,8.0,True
-0.8,-2.4,0.0,-1.5,-4.0,-0.01,0.7,1.5,0.0,2.5,2.1,0.03,0.0,-3.0,-3.0,0.7,1.1,-0.5,1.8,-2.0,-0.7,-5.0,False
0.0,1.0,-0.01,-0.8,-2.3,-0.0,0.9,3.2,-0.01,2.2,3.1,-0.01,1.9,2.5,4.3,0.3,-1.2,0.8,-0.4,1.0,1.6,6.0,True
